report_number,title,incident_date,place   ,governorate,city/town,addess/description,description,categories,location,reporter_state,gender_harassed,age_harassed,age_reporter,age_harasser,intervention,incident_place_type,edu_harassed,edu_reporter,report_date_time
1988,"شارع رمسيس  ,العمرانية الشرقية ,الجيزة",01/20/2016 15:00,"شارع رمسيس  ,العمرانية الشرقية ,الجيزة",الجيزة,الجيزة,"شارع رمسيس  ,العمرانية الشرقية",واحد ماشي من جنبي بيقولي انتي ليه حلوة كده قولتلوا ما تحترم نفسك اصلك مهزق وماردش ومشي وعمل نفسه مش هو,"Ogling,Comments","30,009155,31,206005",Harassed person,Woman,,25-29,35-39,No,Street,,University/more than university,01/20/2016 16:16
1987,"القاهرة، شارع في منطقة وسط البلد  ,وسط البلد ,القاهرة",01/08/2016 18:56,"القاهرة، الشارع في منطقة وسط البلد  ,وسط البلد ,القاهرة",القاهرة,القاهرة,"الشارع في منطقة وسط البلد  ,وسط البلد",مدرب تنمية بشرية اسمه نهاد اتحرش بي غصب عني وأمسك جسمي وحاول تقبيلي وصورني أثناء ذلك وهددني بفضح الصور إن لم أستسلم له تماما وعندما رفضت شتمني واستمر في مضايقتي هاتفيا,"Stalking or following,Sexual invites,Sexual photos,Online,Touching,Threat","30,088774,31,289796",Harassed person,Woman,,18-24,18-24,No,Street,,University/more than university,01/17/2016 16:58
1984,"شارع إيران ,الدقى  ,القاهرة",01/05/2016 14:14,"شارع إيران ,الدقى  ,القاهرة",الجيزة,الجيزة,"شارع إيران ,الدقى",راجل سايق العربية بصلى قوى وقالى كلام مسمعتش منه لاحلو أو حلوين وكان بيعوج بوقه,"Ogling,Facial expressions,Comments","30,038004,31,2053",Harassed person,Woman,,25-29,25-29,No,Street,,University/more than university,01/05/2016 15:03
1983,"Cafe - City Square ,Rehab City ,Cairo",12/27/2015 18:00,"Cafe - City Square ,Rehab City ,Cairo",Cairo,Cairo,"Café - City Square, Rehab City","The waiter who was serving me would stare at me with droopy eyes, talk in slow soft tones at me, place the order in slow motion while staring at me and saying ""انا عملتلك القهوة ديه بإيديه المرة ديه""
*The indoors of the restaurant was empty when he was behaving so.",Ogling,"30,066026,31,485607",Harassed person,Woman,,25-29,25-29,No,Other,,University/more than university,12/29/2015 12:20
1982,"الكوربة ,مصر الجديدة ,القاهرة",12/23/2015 11:26,"الكوربة ,مصر الجديدة ,القاهرة",القاهرة,القاهرة,"الكوربة ,مصر الجديدة",رجل راكب عجله و شايل حاجات عليها جى فى وشى فى الشارع جانبى فاضى شايفاه عمال يزنق عليه و يبصلى.اوى و كان ناوى يزنوقنى اوى على الهربيات كنوع من الترهيب. هو لما قرب منى اوى انا زقيت الحاجه ال على العجله فهو خاف ووقف و قعد يبصلى مش عارف يعمل ايه معايا. و بعدين قلتله انت متحرش سابنى و مشى.,"Ogling,Facial expressions","30,112315,31,343851",Harassed person,Woman,,30-34,40-45,No,Street,,University/more than university,12/23/2015 22:27
1981,"كوبري 15 مايو ,سموحة أامام جرين بلازا ,الإسكندرية",12/23/2015 12:24,"كوبري 15 مايو ,سموحة أامام جرين بلازا ,الإسكندرية",الإسكندرية,الإسكندرية,"كوبري 15 مايو ,سموحة أامام جرين بلازا","ولد صغير اصغر مني ب 15 سنة قام بتتبعي ...و لمسي من المؤخرة و جري 
قمت بالجري خلفه .. الناس اعتقدت انه سرق مني ...قمت بضربه و قلت لهم لمسني ..
02","Stalking or following,Touching","31,192154,29,92146",Harassed person,Woman,,25-29,Under 18,Yes,Street,,University/more than university,12/23/2015 19:24
1980,"street 206 ,Maadi ,Cairo",12/14/2015 23:30,"street 206 ,Maadi ,Cairo",Cairo,Cairo,"street 206, Maadi","I was walking my dog and a guy in a car started to follow me. He drove behind me for about half an hour, even when I tried to hide from him. Sometimes he mumbled stuff at me that I could not hear. Creepy.","Comments,Stalking or following","29,959129,31,276012",Harassed person,Woman,,30-34,40-45,No,Street,,University/more than university,12/23/2015 12:10
1978,"لبيست ,المعادي ,القاهرة",12/21/2015 1:17,"لبيست ,المعادي ,القاهرة",القاهرة,القاهرة,"لبيست ,المعادي",مكالمات ورسائل على الموبايل,Phone calls,"29,962696,31,276942",Harassed person,Woman,,30-34,18-24,No,Home,,University/more than university,12/20/2015 23:18
1977,"بجوار محطة مترو الجيزة ,الهرم ,الجيزة",12/15/2015 9:00,"بجوار محطة مترو الجيزة ,الهرم ,الجيزة",الجيزة,الجيزة,"بجوار محطة مترو الجيزة ,الهرم","4 اولاد قاعدين على القهوة وما نزلوش عينهم من عليا لحد ما عديت من جنبهم وواحد علق على نضارتي فرديت عليه وقولتله احترم نفسك يا مهزق, راحوا كلهم ضحكوا !!! استفزني ضحكهم جدا ومش فاهمة ده معناه ايه انه واحد يتهزق او يتشتم ويضحك","Ogling,Facial expressions,Comments","30,010487,31,205358",Harassed person,Woman,,25-29,18-24,No,Street,,University/more than university,12/20/2015 21:09
1976,"Maadi Close to Road 9 ,Maadi ,Cairo",12/13/2015 9:04,"Maadi Close to Road 9 ,Maadi ,Cairo",Cairo,Cairo,"Cairo Close to Road 9, Maadi","I was meeting a friend in a restaurant on road 9 so I had to take a taxi from my place to the restaurant. The taxi driver took an unusual street that doesn't lead to road 9 and when I asked him why he said it was a short cut. So he locks the doors and stops on the corner and then started grabbing, I started screaming really loud and shouting at him. I tried kicking the door to open but it wouldn't open until I kicked really hard and then I just ran away as fast as I can. I went to the closest bawab and told him but by the time he went to the driver, he was gone.",Sexual assault,"30,03112,31,25388",Harassed person,Woman,,30-34,25-29,No,Public transportation,,University/more than university,12/13/2015 7:05
1974,"كلية اداب ,الوليدية ,اسيوط",12/01/2015 14:00,"كلية اداب ,الوليدية ,اسيوط",أسيوط,أسيوط,"كلية اداب ,الوليدية",مجموعه مكونه من 6 شباب كانوا يتحرشون بالفتيات لمده ساعتان تحرشات لفظية وعند اتخاذ موقف وابلاغ مكتب الامن تم احضارهم وتبين ان احدهم لديه ( واسطه ) وتم انهاء الامر بتقديم اعتزار,Comments,"27,201175,31,180178",Harassed person,Woman,,18-24,18-24,No,School/university,,University/more than university,12/08/2015 19:33
1973,"معاهد العبور للادارة و الحاسبات و نظم المعلومات ,معاهد العبور ,مدينة العبور / القليوبية",12/07/2015 12:00,"معاهد العبور للادارة و الحاسبات و نظم المعلومات ,معاهد العبور ,مدينة العبور / القليوبية",القليوبية,القليوبية,"معاهد العبور للادارة و الحاسبات و نظم المعلومات ,معاهد العبور ,مدينة العبور","و انا ماشية في طريقي لحضور محاضرة في مبني ادارة ( B ) قريب من المدخل الرئيسي للمعهد 
كان في مجموعة من الشباب اللي هما باين عليهم اصلا الانحراف و مافيش ريحة الاخلاق عليهم
من ضمنهم شاب كان قاعد وسطيهم عمال يعض شفايفة و يبص عليا جامد و انا ابوصلة بقرف غيظ و علي امل يحس علي دمة و يبطل لكن يغمزلي كمان و زمايلة قاعدين مبتسمين
مافيش فايدة و اخدت بعضي و جريت بخطوة سريعة للمحاضرة و انا متنرفزة و طبعا زميلاتي مايقدورش يعملوا حاجة بسبب الخوف غير انهم يهدوني","Ogling,Facial expressions","30,279527,31,472654",Harassed person,Woman,,18-24,18-24,No,School/university,,University/more than university,12/08/2015 8:58
1972,"university ,university ,Cairo",12/03/2015 10:30,,Alexandria,,"university ,university ,Cairo",I was taken a photo,Sexual photos,"31,193599,29,912228",Harassed person,Woman,,25-29,18-24,No,Public transportation,,University/more than university,12/06/2015 6:31
1971,"شبرامنت ,شبرامنت  ,القاه",07/31/2015 15:00,"شبرامنت ,شبرامنت  ,القاه",الجيزة,الجيزة,شبرامنت,كنت راكبة في أوتوبيس و المتحرشين (2) عملوا حركات بوشهم ف قفلت الستارة قام سواق التوكتوك ده مدّ إيده مسك دراعي و قالوا ألفاظ,Touching,"30,04442,31,235712",Harassed person,Woman,,25-29,25-29,No,Public transportation,,University/more than university,12/03/2015 16:59
1970,"الاسعاف ,شارع الجلاءء- وسط البلد ,القاهرة",12/01/2015 12:00,"الاسعاف ,شارع الجلاءء- وسط البلد ,القاهرة",القاهرة,القاهرة,"الاسعاف ,شارع الجلاءء- وسط البلد","كنت ماشيه في شارع الجلاء قريب من الاسعاف و في 3 ولاد كانوا ماشيين يبحلقوا و يقولو ""ايه يا وحش- ايه العسل ده-  صدرك ده مدارياه ليه بالشال""","Ogling,Comments","30,093582,31,266267",Harassed person,Woman,,18-24,18-24,No,Street,,University/more than university,12/01/2015 21:13
1969,"Abbas Al Akkad ,Instagram ,Cairo, Egypt",01/12/2015 15:00,"Abbas Al Akkad ,Instagram ,Cairo, Egypt",Cairo,Cairo,"Abbas Al Akkad, Instagram",someone has been sending me messages on instagram explaining his sexual desires towards me.,Sexual invites,"30,04442,31,235712",Harassed person,Woman,,Under 18,Under 18,No,Other,,Secondary,12/01/2015 16:45
1968,"11 makka street  ,dokki  ,Cairo",11/30/2015 12:59,"11 makka street  ,dokki  ,Cairo",Giza,Giza,"11 makka street, dokki","A few days ago, i found an account on instagram posting my pictures on their account with really disturbing and inappropriate descriptions beneath the picture. It was strange because i had not accepted their follow request since my account is on private and i have to accept a follow request before they can have access to my pictures. Anyway, this account has my pictures, however, they do not follow me since i did not accept the follow request. I have sent them a message requesting them politely to take off my picture, however they responded by saying "" Why are you so mad?"". And i honestly was very polite on purpose, hoping they would take the picture off. The other day i find them posting another picture of mine, when i have already blocked them. 2 days after i recieve a follow request from an account , i declined his request since i do not know that person. He sends me a follow request over 5 times and each time i would decline. I then find him sending me a message on instagram and in these messages i would find him sending me my pictures with my mother and telling very inappropriate things. Everything in these messages were sexual assaults to me and my mother. I ignore his message however it has been very disturbing for me. I then blocked and reported him. He then created another account and sent me the same picture he has sent before with other sexual assaults. One of my friends had called me and told me that the same guy had sent her my picture telling her to tell me that he's doing some stuff. I am honestly extremely disturbed from these sexual assaults he is sending to me since they involve my mother and I. He's really saying extremely disgusting things, he's talking about me and my mom as if we were sexual objects.",Online,"30,071069,31,212664",Harassed person,Woman,,Under 18,Under 18,No,Other,,Secondary,11/30/2015 10:53
1965,"ميدان فيكتوريا امام مستشفى نصر الاسلام ,شبرا ,القاهرة",11/25/2015 19:00,"ميدان فيكتوريا امام مستشفى نصر الاسلام ,شبرا ,القاهرة",القاهرة,القاهرة,"ميدان فيكتوريا امام مستشفى نصر الاسلام ,شبرا",انا كنت راكبة ميكروباص و الشباك مفتوح و جاء احد و الميكروباص ماشى فى طريقه و ادخل يده من الشباك و تحرش بى عن طريق اللمس لمسنى بشكل عنيف و سريع و لمسنى فى جزء من جسدى ليس من حق احد ان يلمسه على الاطلاق و كل ذلك حدث و الميكروباص لم يكن واقفا بل سائرا فى طريقه و بعدما استوعبت ما حدث صرخت فجرى سريعا ذلك الشخص بعد ان فعل فعلته البشعة حتى انى لم استطع ان ارى ملامحه و اعرف سنه و لم استطع ان ألحق به لان الميكروباص كان سائرا و حتى لو كنت اوقفت الميكروباص و نزلت كان الشخص قد جرى بعيدا و انتهى الامر و انا متفاجئة جدا من حدوث ذلك لأنى لم ارى ابدا تحرش بهذا الشكل العدوانى و الغير محترم حتى انى لم اتوقعه,Touching,"30,100239,31,250574",Harassed person,Woman,,Under 18,Don't know,No,Public transportation,,Secondary,11/25/2015 1:07
1963,"El Fanar ,Assalah ,Dahab",11/10/2015 11:02,"El Fanar ,Assalah ,Dahab",South Sinai,Dahab,"El Fanar, Assalah",Men attempting to secretly take photos of female tourists without asking permission then after being caught refusing to delete them,Stalking or following,"28,509135,34,513634",Witness,Woman,18-24,30-34,25-29,No,Street,Don't know,University/more than university,11/19/2015 11:04
1962,"ميدان الحصري بممر الامريكية  ,ميدان الحصري  ,مدينة السادس من اكتوبر",09/15/2015 14:00,"ميدان الحصري بممر الامريكية  ,ميدان الحصري  ,مدينة السادس من اكتوبر",الجيزة,الجيزة,"ميدان الحصري بممر الامريكية  ,ميدان الحصري  ,مدينة السادس من اكتوبر",كنت شغالة ف مطعم بالحصري واعتدي عليا راجل باقذر الشتايم وقالي كلام سافل قدام الناس وكان عايز يقلع هدومه ويتهجم عليا وانا مسكت سكينه والامن جه خدو ومشي ولما جه صاحب المطعم راح يكلمه فتحله دماغة 6 غرز وطبعا اهانة فيا الموضوع ميتوصفش بس للدرجة دي ف الاخر عملت محضر ولا حاجة حصلت ؟؟؟؟ احنا عايشين فين,"Ogling,Stalking or following,Threat","30,40145,31,549324",Harassed person,Woman,,18-24,18-24,No,Work,,University/more than university,11/17/2015 13:51
1961,"شارع رايل ,حلوان ,القاهرة",11/04/2015 16:26,"شارع رايل ,حلوان ,القاهرة",القاهرة,القاهرة,"شارع رايل ,حلوان",بنت ماشية ومجموعة أولاد حوالي خمسة كان بيلاحاوها,"Stalking or following,Sexual invites,Mob sexual harassment","29,857318,31,326088",Witness,Woman,Under 18,30-34,18-24,No,Street,Don't know,University/more than university,11/15/2015 23:29
1960,"مجمع التحرير ,مجمع التحرير ,القاهرة",04/10/2015 11:00,"مجمع التحرير ,مجمع التحرير ,القاهرة",القاهرة,القاهرة,مجمع التحرير,كنت اخلص ورق من مجمع التحرير قام شخص اثناء وقوفى فالطابور بلمس مؤخرتى وعندما قمت بالتصوبت والتزعيق لم ينتبه احد لصراخى,Touching,"30,04442,31,235712",Harassed person,Woman,,18-24,30-34,No,Other,,University/more than university,11/15/2015 21:26
1959,"شارع السفارة البلجيكية بجانب مدرسة ام المؤمنين الثانوية بنات ,العمرانية ,الجيزة",10/20/2015 2:20,"شارع السفارة البلجيكية بجانب مدرسة ام المؤمنين الثانوية بنات ,العمرانية ,الجيزة",الجيزة,الجيزة,"شارع السفارة البلجيكية بجانب مدرسة ام المؤمنين الثانوية بنات ,العمرانية",كنت فى المدرسة و مروحة وفى شباب صغيرين و كبار كانو واقفين انا لابسة طبعا الجيبه و التيشرت بتوع المدرسه و اتنين من اللى كانوا واقفين لمسونى واحد من قدام و التانى من ورا انا كمان كنت حاسه انهم هيعملولى حاجة انا لقيت اللى من قدامى هيلمس منطقة الصدر انا شلت ايدو و ضربتو قلمين طبعا اللى ورايا شاف المنظر دة و صاحبه بيضرب خاف و قام جري و طبعا اللى ضربتو مسكتش قال الفاظ لا يمكن تحملها و رحت ماشية كنت ساعتها انا و صاحبتى ماشيين و انا معروف عنى انى مبحبش الدلع و المياصه فى الشارع ف بمشى زى العسكري مشينا فى شارع خاتم المرسلين عشان نروح لقيتهم جابو ولاد اكتر و كبار و دي كانت المصيبة اللى انا اتحطيت فيها و ابتدوا ينادو علينا و يقولوا الفاظ مش محترمه انا فضلت ماشيه بس كنت بمد اوى و كان فى كشك فاتح الراجل اللى فيه لاحظ الصوت العالى بتاعهم و طلع من الكشك و قالى فى ايه قولتلو فى مجموعة من الشباب كانو هيتحرشو بيا و انا ضربت واحد فيهم بس لاقيتهم جايبين ناس كبار وكدة ف قالى طب امشى و انا هظبتهملك طبعا انا و صاحبتى خدناها جري وكان فى قهوه و ناس كتير قاعدة راح قالهم و قاموا كل اللى ع القهوة وراحو مسكوهم ضربوهم جامد,"Catcalls,Touching","29,990772,31,173277",Harassed person,Woman,,Under 18,Under 18,Yes,Street,,Secondary,11/14/2015 7:58
1958,"Mugamma ,Tahrir ,Cairo",11/12/2015 13:20,"Mugamma ,Tahrir ,Cairo",Cairo,Cairo,"Mugamma, Tahrir","I was waiting to pick up documents at the Mugamma and a man came up close behind me in the crowd and stood directly behind me. I moved, unsure whether he was just standing too close because it was crowded. A few minutes later I heard another woman say to him, ""Please move away from me!"" After that he came back and stood very close behind me, rubbing against my back and grabbing my arm. I told him to move away and he disappeared into the crowd.",Touching,"30,042938,31,234903",Harassed person,Woman,,18-24,25-29,No,Other,,University/more than university,11/12/2015 12:32
1957,"شارع الجلاء  ,الساعة ,الإسكندرية",11/10/2015 16:40,الإسكندرية,الإسكندرية,الإسكندرية,"شارع الجلاء  ,الساعة","أثناء ركوبى المشروع نزل أحد الركاب وصعد مكانه شخص آخر يدل شكله على انه ف الخمسينات من عمره ،المهم انه ركب وأخذ راحته ف الكرسى وكانه جالس على أريكة فى منزله وأخد يعبث بجيوب قميصه وكان من الواضح انه يعبث ولا يخرج منها شيئا فطلبت منه بأدب ان يتنحى عنى قليلا ويترك بعض الفراغ الذى هو اصلا موجود بين الكرسيين ،فتنحى لثانيتين او ثلاثة ثم عاد مرة اخرى ،وانا ملتصقة بالمرأة التى بجانبى حتى اتحاشاه ولكنه مد ارجله جدا لدرجة انى لم اجد اى مساحة من الفراغ لأذهب فيها وأنا اصلا رفيعة لا آخذ مكان كبير فى اى مكان اجلس فيه،فطلبت منه بأدب مرة أخرى ان يتنحى قليلا فقال لى :""عيب ياحبيبتى الكلام دا انا قد باباكى."" وسألتنى المرأة التى بجانبى عما يحدث فشرحت لها ،فقالت لى :""معلش يا حبيبتى دا قد باباكى برضه ."" فرد الآخر وقال ""قوليلها والنبى."" فرفعت صوتى وقلت له انه حتى وان كان ف عمر ابى انه لا يصح ان يلصق جسمه بجسمى على الرغم من وجود فراغ بين الكرسين ولكنه شاغله بكل جسمه ،المهم انه رد وقال لى :""لا بقى دا انتى شكلك لسانك طويل ."" عندها لم استطع الرد عليه فانا استطيع ان اطلب منه الابتعاد عنى ولكن لا استطيع ان اسب رجل بالخمسين من عمره فانا فى الثامنة عشر من عمرى .الشئ المخزى ايضا ان كل الراكبين والسواق لم يهمس اى منهم بكلمة واحدة بل على العكس ضحك احدهم معه وهو يقول :""بنت صغيرة تقولى يا جدو تقولى ابعد عنى مش عارفة"" فرد عليه السواق مازحا:""شوية وحتقولك مكسوفة منك.""
مايثير استيائى حقا هو سلبية كل الراكبين وكأنى اطلب شيئا عيبا او حراما ،انا فقط كنت اطالب بحقى فى احترام حرمة جسدى،فهل ذنبى انه رجل بعمر ابى او حتى جدى ؟او ذنبى ان الله خلقنى انثى مصرية فمن حق الجميع انتهاك حرمة جسدى ؟",Touching,"31,247071,29,983754",Harassed person,Woman,,Under 18,Over 45,No,Public transportation,,Secondary,11/10/2015 16:42
